iter	Logloss
0	0.6751773036
1	0.6581750069
2	0.6447626732
3	0.631265383
4	0.6188423612
5	0.608509678
6	0.5978450997
7	0.5896458231
8	0.5812129586
9	0.5739179419
10	0.5673114281
11	0.5611943011
12	0.5554416175
13	0.550377785
14	0.5448710514
15	0.5410345863
16	0.5367708752
17	0.5325753555
18	0.5287844965
19	0.525388599
20	0.5218952656
21	0.5189160205
22	0.516707883
23	0.5141162394
24	0.5116259691
25	0.5097249197
26	0.5076848827
27	0.5056607904
28	0.5040550708
29	0.5022483449
30	0.5006668489
31	0.4994007142
32	0.4983572587
33	0.4970930429
34	0.495880927
35	0.4947505462
36	0.4937027247
37	0.4927232078
38	0.4917710141
39	0.4908320566
40	0.4899599526
41	0.4890616042
42	0.4883803505
43	0.4876779359
44	0.4869805059
45	0.4863428307
46	0.4857604517
47	0.4849901043
48	0.484368394
49	0.4838357963
50	0.4832101285
51	0.482726297
52	0.4823636761
53	0.4818786288
54	0.4813872533
55	0.4809319151
56	0.4804511512
57	0.4799670438
58	0.4795089083
59	0.4791701375
60	0.4788107536
61	0.4785369292
62	0.4781819685
63	0.4779499865
64	0.4776287672
65	0.4772470635
66	0.4769100975
67	0.4765822231
68	0.4762923392
69	0.4758797545
70	0.4756209142
71	0.475348277
72	0.4750302846
73	0.4747424203
74	0.4744777538
75	0.4742140246
76	0.4739061797
77	0.4735718746
78	0.4733731696
79	0.4730983058
80	0.4728462902
81	0.4725150759
82	0.4723193525
83	0.472152516
84	0.4719468177
85	0.4717021159
86	0.4714763708
87	0.4712983419
88	0.4710915595
89	0.4709048566
90	0.4707545907
91	0.4705486665
92	0.4703310513
93	0.4701214112
94	0.4699330878
95	0.469709831
96	0.4696016453
97	0.4692777739
98	0.4690128706
99	0.4688575995
100	0.4685841809
101	0.468416995
102	0.4681971239
103	0.4680622919
104	0.4678827709
105	0.4677264369
106	0.4675507977
107	0.467300824
108	0.4670563994
109	0.4668526481
110	0.4667038371
111	0.4665409969
112	0.4662607273
113	0.4661491532
114	0.4660372384
115	0.4658993762
116	0.4657238088
117	0.4655461032
118	0.465413052
119	0.4651880509
120	0.4650006256
121	0.4648058095
122	0.4647250376
123	0.4645810642
124	0.464408084
125	0.464230939
126	0.4640451465
127	0.4639331374
128	0.463825796
129	0.4636675174
130	0.4634824322
131	0.4634048371
132	0.4632289286
133	0.4631104188
134	0.4628943987
135	0.4627791309
136	0.4626418389
137	0.4624725222
138	0.4623882774
139	0.4622511216
140	0.4621359293
141	0.4621099535
142	0.4620174093
143	0.4618974635
144	0.4617235192
145	0.4615446501
146	0.4614645344
147	0.4613840889
148	0.4613100997
149	0.461166125
150	0.4610472654
151	0.4608791711
152	0.460756991
153	0.4606341823
154	0.4605156569
155	0.4604434179
156	0.4603417082
157	0.4602391349
158	0.4600394077
159	0.4598294661
160	0.459684141
161	0.4595013794
