iter	Passed	Remaining
0	17	17722
1	37	18781
2	52	17482
3	63	15801
4	74	14877
5	85	14113
6	93	13275
7	100	12450
8	106	11734
9	111	11042
10	116	10503
11	121	10036
12	128	9718
13	134	9483
14	141	9311
15	148	9132
16	155	8996
17	163	8939
18	169	8736
19	175	8601
20	180	8434
21	186	8273
22	191	8143
23	197	8032
24	203	7921
25	208	7804
26	213	7698
27	219	7610
28	224	7511
29	229	7422
30	235	7353
31	240	7267
32	245	7203
33	251	7132
34	256	7065
35	261	7006
36	267	6953
37	272	6898
38	277	6843
39	283	6797
40	288	6750
41	293	6699
42	299	6663
43	305	6639
44	310	6588
45	316	6562
46	321	6520
47	327	6497
48	334	6492
49	341	6484
50	347	6463
51	354	6459
52	361	6466
53	369	6475
54	374	6442
55	380	6419
56	386	6386
57	391	6356
58	396	6330
59	402	6299
60	407	6269
61	412	6246
62	417	6215
63	423	6188
64	428	6164
65	434	6142
66	439	6117
67	445	6100
68	450	6077
69	455	6051
70	461	6037
71	466	6010
72	471	5987
73	476	5968
74	481	5944
75	487	5929
76	492	5909
77	498	5889
78	503	5871
79	509	5854
80	514	5835
81	519	5819
82	527	5827
83	533	5820
84	540	5814
85	546	5806
86	560	5878
87	567	5884
88	575	5886
89	580	5873
90	587	5864
91	593	5853
92	600	5860
93	607	5855
94	616	5873
95	623	5873
96	629	5857
97	635	5847
98	640	5828
99	645	5811
100	651	5801
101	656	5782
102	661	5764
103	667	5748
104	673	5743
105	679	5728
106	684	5712
107	689	5697
108	695	5683
109	701	5673
110	706	5657
111	711	5641
112	717	5630
113	722	5614
114	729	5614
115	735	5608
116	742	5604
117	752	5624
118	759	5622
119	766	5622
120	772	5609
121	777	5596
122	783	5583
123	788	5571
124	793	5554
125	799	5543
126	803	5526
127	808	5510
128	814	5502
129	819	5487
130	825	5478
131	830	5464
132	836	5452
133	842	5443
134	847	5430
135	852	5417
136	857	5404
137	863	5392
138	868	5378
139	873	5367
140	878	5353
141	882	5329
142	887	5317
143	892	5307
144	897	5294
145	902	5281
146	908	5269
147	912	5255
148	917	5242
149	923	5233
150	929	5226
151	935	5219
152	943	5223
153	949	5218
154	957	5217
155	962	5208
156	967	5197
157	973	5188
158	978	5177
159	983	5165
160	989	5154
161	994	5146
162	1000	5136
163	1005	5126
164	1010	5116
165	1015	5103
166	1020	5089
167	1025	5080
168	1030	5069
169	1036	5058
170	1041	5048
171	1046	5035
172	1051	5025
173	1056	5016
174	1061	5005
175	1066	4995
176	1072	4985
177	1077	4976
178	1082	4967
179	1088	4958
180	1093	4948
181	1099	4939
182	1104	4929
183	1109	4919
184	1114	4909
185	1120	4903
186	1127	4902
187	1133	4897
188	1140	4891
189	1145	4883
190	1153	4883
191	1158	4874
192	1164	4867
193	1169	4858
194	1174	4849
195	1180	4841
196	1185	4832
197	1190	4823
198	1196	4815
199	1201	4806
200	1206	4797
201	1212	4788
202	1217	4778
203	1221	4768
204	1227	4760
205	1232	4751
206	1237	4742
207	1242	4732
208	1247	4723
209	1253	4713
210	1258	4705
211	1263	4696
212	1268	4688
213	1274	4680
214	1279	4670
215	1284	4662
216	1290	4654
217	1295	4646
218	1301	4640
219	1307	4633
220	1312	4625
221	1319	4623
222	1326	4620
223	1333	4619
224	1342	4622
225	1347	4614
226	1352	4607
227	1358	4600
228	1363	4591
229	1369	4585
230	1374	4576
231	1380	4569
